disease,symptoms
iron deficiency anemia,"dizziness, blood in stool, intermenstrual bleeding, regurgitation, weight gain, heartburn, weakness, fatigue, regurgitation.1, rectal bleeding, heavy menstrual flow"
acute respiratory distress syndrome (ards),"shortness of breath, depressive or psychotic symptoms, sharp chest pain, chest tightness, cough, wheezing, fever, difficulty breathing, chills"
toxic multinodular goiter,"abnormal involuntary movements, irregular heartbeat, involuntary urination, double vision, fatigue"
open wound of the finger,"hand or finger pain, hand or finger swelling, hand or finger stiffness or tightness, skin on arm or hand looks infected"
autonomic nervous system disorder,"dizziness, difficulty in swallowing, leg pain, headache, decreased appetite"
psychosexual disorder,"depression, involuntary urination, pain during intercourse, impotence, fatigue, loss of sex drive, premature ejaculation"
anemia,"shortness of breath, dizziness, vomiting blood, weakness, changes in stool appearance, fatigue, melena, nosebleed"
tendinitis,"leg pain, hip pain, hand or finger pain, wrist pain, hand or finger swelling, arm pain, knee pain, foot or toe pain, ankle pain, shoulder pain"
common cold,"sore throat, cough, nasal congestion, vomiting, headache, wheezing, ear pain, fever, chills, coryza, flu-like syndrome"
amyotrophic lateral sclerosis (als),"abnormal involuntary movements, difficulty speaking, difficulty in swallowing, weakness, leg cramps or spasms"
central retinal artery or vein occlusion,"irregular heartbeat, diminished vision, symptoms of eye, pain in eye, foreign body sensation in eye, blindness"
paroxysmal supraventricular tachycardia,"shortness of breath, sharp chest pain, dizziness, chest tightness, palpitations, irregular heartbeat, involuntary urination, weakness, increased heart rate"
venous insufficiency,"leg pain, abnormal appearing skin, skin lesion, leg cramps or spasms, lymphedema, skin on leg or foot looks infected, fluid retention, burning chest pain"
trichomonas infection,"sharp abdominal pain, vomiting, nausea, vaginal itching, lower abdominal pain, vaginal discharge, pain during pregnancy, unpredictable menstruation"
acne,"skin swelling, abnormal appearing skin, acne or pimples, skin growth, irregular appearing scalp, skin moles, long menstrual periods, skin dryness, peeling, scaliness, or roughness, skin rash"
depression,"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, abusing alcohol, hostile behavior, drug abuse, excessive anger, disturbance of memory, delusions or hallucinations, temper problems"
drug abuse,"anxiety and nervousness, depression, depressive or psychotic symptoms, abusing alcohol, hostile behavior, drug abuse, smoking problems, delusions or hallucinations, sweating, antisocial behavior"
urinary tract obstruction,"retention of urine, suprapubic pain, sharp abdominal pain, painful urination, frequent urination, blood in urine, back pain, side pain, symptoms of prostate, excessive urination at night"
diabetes insipidus,"dizziness, emotional symptoms"
iridocyclitis,"headache, diminished vision, symptoms of eye, pain in eye, foreign body sensation in eye, eye redness, lacrimation, eye burns or stings, cloudy eye"
varicocele of the testicles,"symptoms of the scrotum and testes, swelling of scrotum, pain in testicles, mass in scrotum, involuntary urination, lower abdominal pain, skin growth, pain of the anus, groin pain, infertility"
irritable bowel syndrome,"anxiety and nervousness, insomnia, flatulence, sharp abdominal pain, nausea, diarrhea, lower abdominal pain, burning abdominal pain, upper abdominal pain"
fracture of the foot,"foot or toe pain, ankle pain, foot or toe swelling, ankle swelling, foot or toe stiffness or tightness, foot or toe weakness"
ovarian cyst,"sharp abdominal pain, vomiting, nausea, lower abdominal pain, vaginal discharge, intermenstrual bleeding, pelvic pain, burning abdominal pain, painful menstruation"
chlamydia,"sharp abdominal pain, vaginal itching, lower abdominal pain, vaginal discharge, pelvic pain, vaginal pain"
parasitic disease,"cough, retention of urine, sharp abdominal pain, hand or finger swelling, abnormal appearing skin, skin rash"
fracture of the jaw,"facial pain, pain in eye, peripheral edema, jaw swelling, bones are painful, mouth pain"
lipoma,"skin swelling, groin mass, abnormal appearing skin, skin lesion, skin growth, neck mass, bones are painful, back mass or lump, shoulder lump or mass, arm lump or mass"
female genitalia infection,"skin swelling, vaginal discharge, skin lesion, vaginal pain, vulvar irritation, groin pain, vulvar sore"
pulmonary hypertension,"shortness of breath, sharp chest pain, palpitations, cough, feeling ill, difficulty breathing, fatigue, hemoptysis, apnea"
thyroid nodule,"hoarse voice, diminished hearing, throat feels tight, difficulty in swallowing, back weakness, neck mass, fatigue"
broken tooth,"lip swelling, toothache, dry lips, facial pain, difficulty eating, gum pain, bleeding gums"
dumping syndrome,"vomiting, nausea, knee lump or mass"
lymphadenitis,"sore throat, cough, skin swelling, sharp abdominal pain, neck pain, neck mass, ear pain, neck swelling, fever"
injury to the face,"diminished hearing, headache, facial pain, neck pain, ear pain, neck stiffness or tightness, nosebleed, bleeding from ear, mouth pain"
aortic valve disease,"shortness of breath, sharp chest pain, palpitations, irregular heartbeat, groin mass, fainting, peripheral edema, difficulty breathing, lymphedema"
rheumatoid arthritis,"hand or finger pain, wrist pain, hand or finger swelling, wrist swelling, peripheral edema, knee pain, ache all over, joint pain, elbow swelling, joint swelling"
spermatocele,"retention of urine, elbow weakness, pain in testicles, mass in scrotum, frequent urination"
impetigo,"cough, nasal congestion, skin swelling, abnormal appearing skin, skin lesion, mouth ulcer, fever, itching of skin, skin rash, sore in nose"
anal fistula,"blood in stool, mass in scrotum, pain of the anus, rectal bleeding"
hypothermia,"depressive or psychotic symptoms, emotional symptoms, fainting, weakness"
oppositional disorder,"depressive or psychotic symptoms, fainting, hostile behavior, restlessness, excessive anger, temper problems, low self-esteem, obsessions and compulsions, antisocial behavior, low urine output"
migraine,"dizziness, vomiting, headache, nausea, diminished vision, spots or clouds in vision, blindness, symptoms of the face, disturbance of memory"
diabetic peripheral neuropathy,"leg pain, skin lesion, foot or toe pain, problems with movement, foot or toe swelling, loss of sensation, paresthesia, lymphedema, foot or toe stiffness or tightness"
testicular disorder,"hoarse voice, symptoms of the scrotum and testes, impotence, fatigue, loss of sex drive"
gestational diabetes,"pain during pregnancy, vaginal redness, problems during pregnancy, uterine contractions, pelvic pressure"
hidradenitis suppurativa,"skin swelling, groin mass, arm pain, skin lesion, skin growth, skin rash"
valley fever,"shortness of breath, hand or finger pain, fever, shoulder swelling"
conjunctivitis due to bacteria,"sore throat, cough, nasal congestion, abnormal appearing skin, eye redness, fever"
lewy body dementia,"depressive or psychotic symptoms, abnormal involuntary movements, hostile behavior, disturbance of memory, delusions or hallucinations"
multiple myeloma,"lip swelling, problems with movement, weakness, disturbance of memory, fatigue"
head injury,"dizziness, fainting, headache, lip swelling, facial pain, double vision, back pain, neck pain"
ascending cholangitis,"shortness of breath, retention of urine, jaundice, sharp abdominal pain, fever"
idiopathic irregular menstrual cycle,"sharp abdominal pain, lower abdominal pain, intermenstrual bleeding, pelvic pain, cramps and spasms, long menstrual periods, heavy menstrual flow, unpredictable menstruation, painful menstruation, infertility, frequent menstruation"
interstitial lung disease,"shortness of breath, sore throat, cough, nasal congestion, headache, wheezing, fever, sleepiness, abnormal breathing sounds"
mononeuritis,"leg pain, hand or finger pain, wrist pain, arm pain, foot or toe pain, ankle pain, elbow pain, loss of sensation, shoulder pain, hand or finger weakness"
malaria,"fainting, headache, knee lump or mass, fever"
somatization disorder,"anxiety and nervousness, depression, dizziness, fainting, ache all over"
hypovolemia,"dizziness, fainting, sharp abdominal pain, feeling ill, vomiting, nausea, diarrhea, decreased appetite, fever"
schizophrenia,"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, hostile behavior, excessive anger, delusions or hallucinations, temper problems, fears and phobias, low self-esteem, hysterical behavior"
knee ligament or meniscus tear,"knee pain, knee weakness, knee swelling, knee lump or mass, knee stiffness or tightness, leg stiffness or tightness, leg weakness"
endocarditis,"shortness of breath, sharp chest pain, dizziness, palpitations, irregular heartbeat, increased heart rate"
sepsis,"shortness of breath, cough, suprapubic pain, sharp abdominal pain, feeling ill, vomiting, weakness, decreased appetite, fever, difficulty breathing, chills"
heat stroke,"dizziness, feeling hot"
cholecystitis,"sharp chest pain, sharp abdominal pain, vomiting, nausea, back pain, burning abdominal pain, side pain, lower body pain, upper abdominal pain, stomach bloating, regurgitation.1, symptoms of the kidneys"
cardiac arrest,"shortness of breath, sharp chest pain, palpitations, irregular heartbeat, arm swelling, weakness, decreased heart rate, difficulty breathing"
cardiomyopathy,"shortness of breath, sharp chest pain, chest tightness, irregular heartbeat, peripheral edema, heartburn, decreased heart rate, fatigue"
social phobia,"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, abusing alcohol, excessive appetite, excessive anger, delusions or hallucinations, fears and phobias"
meningitis,"cough, vomiting, headache, nausea, neck pain, neck stiffness or tightness, fever, ache all over"
spherocytosis,"cough, elbow weakness, skin rash"
hormone disorder,"lack of growth, headache, hot flashes, acne or pimples, excessive growth"
raynaud disease,"hand or finger pain, hand or finger swelling, loss of sensation"
reactive arthritis,"hip pain, knee lump or mass"
scabies,"skin swelling, abnormal appearing skin, foot or toe swelling, problems during pregnancy, unpredictable menstruation, itching of skin, skin rash"
ear wax impaction,"cough, nasal congestion, diminished hearing, ear pain, ringing in ear, plugged feeling in ear, fluid in ear, fever, pulling at ears, sinus congestion"
hypertension of pregnancy,"headache, pain during pregnancy, heartburn, problems during pregnancy, spotting or bleeding during pregnancy, uterine contractions"
peripheral arterial embolism,"leg pain, abnormal appearing skin, knee swelling, leg swelling, loss of sensation, paresthesia"
rosacea,"skin swelling, abnormal appearing skin, skin lesion, acne or pimples, skin growth, symptoms of eye, skin moles, lymphedema, itching of skin, skin dryness, peeling, scaliness, or roughness"
fracture of the skull,"depressive or psychotic symptoms, diminished hearing, drug abuse, vomiting, headache"
uveitis,"elbow weakness, diminished vision, symptoms of eye"
fracture of the facial bones,"abusing alcohol, headache, lip swelling, facial pain, double vision, pain in eye, peripheral edema, swollen eye, redness in or around nose"
tracheitis,"shortness of breath, hoarse voice, sore throat, cough, nasal congestion, fever, sneezing"
jaw disorder,"difficulty in swallowing, headache, toothache, facial pain, peripheral edema, neck mass, jaw swelling, mouth pain"
perirectal infection,"skin swelling, swelling of scrotum, pain in testicles, abnormal appearing skin, skin lesion, pain of the anus"
breast cyst,"vaginal dryness, skin growth, pain or soreness of breast, lump or mass of breast"
post-traumatic stress disorder (ptsd),"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, abusing alcohol, hostile behavior, drug abuse, excessive anger, delusions or hallucinations, temper problems"
kidney cancer,"retention of urine, groin mass, involuntary urination, blood in urine, kidney mass"
vulvar cancer,"insomnia, emotional symptoms, back pain"
blepharitis,"white discharge from eye, diminished vision, symptoms of eye, pain in eye, spots or clouds in vision, eye redness, lacrimation, itchiness of eye, eye burns or stings, swollen eye, eyelid swelling"
celiac disease,"sharp chest pain, sharp abdominal pain, vomiting, nausea, peripheral edema, regurgitation.1"
cystitis,"retention of urine, suprapubic pain, sharp abdominal pain, painful urination, involuntary urination, frequent urination, lower abdominal pain, blood in urine, back pain, pelvic pain, side pain, symptoms of bladder"
sickle cell anemia,"leg pain, dry lips, back pain, fever, ache all over, joint pain, temper problems, pulling at ears"
subconjunctival hemorrhage,"headache, facial pain, diminished vision, symptoms of eye, pain in eye, foreign body sensation in eye, eye redness, bleeding from eye"
hemorrhoids,"blood in stool, sharp abdominal pain, pain of the anus, heartburn, lower body pain, changes in stool appearance, melena, rectal bleeding, constipation, mass or swelling around the anus, itching of the anus"
contact dermatitis,"skin swelling, abnormal appearing skin, skin lesion, acne or pimples, skin moles, allergic reaction, swollen eye, itching of skin, skin dryness, peeling, scaliness, or roughness, skin irritation, skin rash"
sinus bradycardia,"shortness of breath, sharp chest pain, dizziness, chest tightness, palpitations, irregular heartbeat, fainting, feeling ill, weakness, decreased heart rate, increased heart rate"
high blood pressure,"sharp chest pain, headache"
pelvic inflammatory disease,"suprapubic pain, sharp abdominal pain, vomiting, nausea, painful urination, lower abdominal pain, vaginal discharge, intermenstrual bleeding, back pain, pelvic pain, burning abdominal pain"
liver disease,"shortness of breath, blood in stool, jaundice, sharp abdominal pain, nausea, diarrhea, peripheral edema, heartburn, weakness, side pain, upper abdominal pain, unusual color or odor to urine"
chronic constipation,"retention of urine, blood in stool, sharp abdominal pain, vomiting, nausea, lower abdominal pain, pain of the anus, burning abdominal pain, changes in stool appearance, rectal bleeding, constipation"
thyroid cancer,"difficulty in swallowing, swollen lymph nodes, neck mass, fatigue"
flu,"sore throat, cough, vomiting, headache, nausea, diarrhea, fever, ache all over, chills, coryza"
friedrich ataxia,"cough, ear pain, knee lump or mass"
tic (movement) disorder,"depressive or psychotic symptoms, abnormal involuntary movements, headache, symptoms of eye, abnormal movement of eyelid, problems with movement"
skin polyp,"skin swelling, abnormal appearing skin, skin lesion, acne or pimples, skin growth, irregular appearing scalp, skin moles, itching of skin, skin dryness, peeling, scaliness, or roughness, skin irritation, warts"
brachial neuritis,"headache, hand or finger pain, arm pain, back pain, neck pain, low back pain, elbow pain, loss of sensation, paresthesia, shoulder pain, hand or finger weakness"
cervical cancer,"jaundice, vaginal itching, vaginal discharge, pelvic pain, vulvar irritation, heavy menstrual flow"
adrenal adenoma,"anxiety and nervousness, shortness of breath, back weakness, sharp abdominal pain"
esophagitis,"shortness of breath, sharp chest pain, chest tightness, sore throat, cough, difficulty in swallowing, sharp abdominal pain, vomiting, nausea, burning abdominal pain, heartburn, upper abdominal pain"
gas gangrene,"sharp abdominal pain, wrist pain"
yeast infection,"suprapubic pain, sharp abdominal pain, vaginal itching, frequent urination, vaginal discharge, pelvic pain, vaginal pain, skin rash, diaper rash"
spina bifida,"headache, involuntary urination, skin lesion, eye moves abnormally, back pain, disturbance of memory"
drug poisoning due to medication,"depression, depressive or psychotic symptoms, abusing alcohol, drug abuse, lip swelling, slurring words, sleepiness"
alcoholic liver disease,"abnormal involuntary movements, abusing alcohol, sharp abdominal pain, diarrhea, peripheral edema, weight gain, stomach bloating"
malignant hypertension,"shortness of breath, depressive or psychotic symptoms, sharp chest pain, insomnia, vomiting, headache, lower body pain"
diverticulitis,"blood in stool, sharp abdominal pain, vomiting, nausea, diarrhea, lower abdominal pain, burning abdominal pain, side pain, fever, upper abdominal pain, chills, constipation"
moyamoya disease,"depressive or psychotic symptoms, elbow weakness"
heat exhaustion,"shortness of breath, sharp chest pain, dizziness, fainting, vomiting, headache, weakness, fluid retention"
psychotic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, abusing alcohol, hostile behavior, excessive anger, delusions or hallucinations, temper problems, fears and phobias, hysterical behavior"
frostbite,"sharp chest pain, elbow weakness, foot or toe pain"
atrophy of the corpus cavernosum,"frequent urination, abnormal appearing skin, skin growth, impotence, bumps on penis"
smoking or tobacco addiction,"shortness of breath, sharp chest pain, cough, abusing alcohol, drug abuse, headache, smoking problems, excessive anger, coughing up sputum, hemoptysis, hurts to breath"
sprain or strain,"leg pain, headache, hand or finger pain, wrist pain, arm pain, back pain, neck pain, low back pain, knee pain, foot or toe pain, ankle pain, shoulder pain"
essential tremor,"dizziness, abnormal involuntary movements, hoarse voice, problems with movement, muscle pain, loss of sensation, disturbance of memory"
open wound of the ear,"dry lips, facial pain, ear pain, fluid in ear, bleeding from ear"
foreign body in the nose,"nasal congestion, regurgitation.1"
idiopathic painful menstruation,"sharp abdominal pain, vaginal itching, lower abdominal pain, vaginal discharge, pelvic pain, cramps and spasms, blood clots during menstrual periods, long menstrual periods, heavy menstrual flow, unpredictable menstruation, painful menstruation"
down syndrome,"difficulty speaking, cough, nasal congestion, lack of growth, decreased appetite, seizures"
idiopathic infrequent menstruation,"retention of urine, sharp abdominal pain, nausea, unpredictable menstruation"
pneumothorax,"shortness of breath, sharp chest pain, cough, drug abuse, back pain, side pain, shoulder pain, hurts to breath"
de quervain disease,"abnormal involuntary movements, hand or finger pain, wrist pain, hand or finger swelling, arm pain, wrist swelling, shoulder pain"
fracture of the vertebra,"hip pain, hand or finger stiffness or tightness, back pain, neck pain, low back pain, pelvic pain, bones are painful, leg stiffness or tightness"
human immunodeficiency virus infection (hiv),"drug abuse, fears and phobias, nightmares"
mumps,"sore throat, swollen lymph nodes, ear pain, shoulder swelling"
subarachnoid hemorrhage,"dizziness, fainting, vomiting, headache, symptoms of eye, loss of sensation"
acute fatty liver of pregnancy (aflp),"emotional symptoms, sharp abdominal pain"
ectropion,"white discharge from eye, symptoms of eye, pain in eye, eye redness, lacrimation"
scar,"skin swelling, lip swelling, abnormal appearing skin, skin lesion, skin growth, skin moles, itching of skin"
lactose intolerance,"shortness of breath, nasal congestion, flatulence, diarrhea, impotence, burning abdominal pain"
eustachian tube dysfunction (ear disorder),"dizziness, sore throat, nasal congestion, diminished hearing, ear pain, ringing in ear, plugged feeling in ear, allergic reaction, abnormal breathing sounds, redness in ear, swollen or red tonsils"
appendicitis,"sharp abdominal pain, vomiting, nausea, diarrhea, lower abdominal pain, burning abdominal pain, decreased appetite, side pain, fever, upper abdominal pain, stomach bloating"
graves disease,"dizziness, abnormal involuntary movements, palpitations, irregular heartbeat, involuntary urination, hemoptysis, sweating"
dissociative disorder,"anxiety and nervousness, depressive or psychotic symptoms, back weakness, excessive anger, disturbance of memory"
open wound of the face,"wrist swelling, facial pain"
dislocation of the vertebra,"leg pain, elbow weakness, back pain, neck pain, low back pain"
phimosis,"retention of urine, symptoms of the scrotum and testes, painful urination, blood in urine, penis pain, penis redness"
hyperemesis gravidarum,"dizziness, sharp abdominal pain, vomiting, headache, nausea, diarrhea, pain during pregnancy, vomiting blood, burning abdominal pain, weakness, problems during pregnancy"
pregnancy,"pain during pregnancy, problems during pregnancy, spotting or bleeding during pregnancy, cramps and spasms, uterine contractions, pelvic pressure"
thalassemia,"insomnia, elbow weakness"
placenta previa,"involuntary urination, pain during pregnancy, spotting or bleeding during pregnancy, cramps and spasms"
epidural hemorrhage,"depressive or psychotic symptoms, dizziness, emotional symptoms"
septic arthritis,"leg pain, hip pain, knee pain, knee swelling, fever"
athlete's foot,"skin swelling, abnormal appearing skin, skin lesion, foot or toe pain, foot or toe swelling, irregular appearing nails, skin dryness, peeling, scaliness, or roughness, skin rash"
pleural effusion,"shortness of breath, sharp chest pain, cough, sharp abdominal pain, back pain, weakness, side pain, difficulty breathing, rib pain, hurts to breath"
aphakia,"diminished vision, symptoms of eye, spots or clouds in vision, eye burns or stings"
vulvar disorder,"vaginal itching, pain during intercourse, vaginal discharge, vaginal pain, vulvar irritation, skin dryness, peeling, scaliness, or roughness"
sialoadenitis,"sore throat, cough, nasal congestion, facial pain, swollen lymph nodes, peripheral edema, neck mass, jaw swelling, neck swelling"
gynecomastia,"skin swelling, back pain, neck pain, bones are painful, problems with shape or size of breast, pain or soreness of breast, lump or mass of breast"
urinary tract infection,"retention of urine, suprapubic pain, vomiting, nausea, painful urination, frequent urination, lower abdominal pain, blood in urine, back pain, side pain, fever"
histoplasmosis,"cough, elbow weakness, lacrimation"
erythema multiforme,"difficulty in swallowing, vomiting, mouth ulcer, fever, skin rash"
scoliosis,"leg pain, back pain, low back pain, knee swelling, problems with movement, knee stiffness or tightness, lower body pain"
bunion,"skin growth, knee pain, foot or toe pain, skin moles, foot or toe lump or mass"
arrhythmia,"shortness of breath, sharp chest pain, dizziness, chest tightness, palpitations, fainting, leg cramps or spasms, fatigue"
trigeminal neuralgia,"dizziness, abnormal involuntary movements, headache, toothache, facial pain, pain in eye, symptoms of the face"
ankylosing spondylitis,"leg pain, hip pain, back pain, low back pain, knee pain, elbow pain, paresthesia, ache all over, lower body pain, stiffness all over"
peripheral nerve disorder,"dizziness, abnormal involuntary movements, leg pain, arm pain, back pain, foot or toe pain, problems with movement, loss of sensation, disturbance of memory, paresthesia, arm weakness, leg weakness"
sebaceous cyst,"skin swelling, abnormal appearing skin, skin lesion, acne or pimples, skin growth, irregular appearing scalp, neck mass, skin moles, hand or finger lump or mass, back mass or lump, arm lump or mass"
poisoning due to antipsychotics,"anxiety and nervousness, sharp chest pain, delusions or hallucinations"
neurosis,"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, hostile behavior, drug abuse, headache, smoking problems, excessive anger, delusions or hallucinations, obsessions and compulsions"
prostate cancer,"retention of urine, involuntary urination, pain during intercourse, blood in urine, impotence, symptoms of prostate, flushing, excessive urination at night"
cerebral edema,"dizziness, vomiting, headache, arm pain, neck pain, focal weakness"
dislocation of the finger,"difficulty speaking, hand or finger pain, wrist pain, hand or finger swelling, hand or finger stiffness or tightness"
birth trauma,"depressive or psychotic symptoms, emotional symptoms, arm stiffness or tightness"
chronic pancreatitis,"abusing alcohol, sharp abdominal pain, vomiting, nausea, diarrhea, skin growth, back pain, ache all over"
hematoma,"skin swelling, swelling of scrotum, sharp abdominal pain, arm swelling, ache all over"
carcinoid syndrome,"involuntary urination, knee lump or mass"
open wound of the head,"abusing alcohol, headache"
seborrheic keratosis,"skin swelling, abnormal appearing skin, skin lesion, acne or pimples, skin growth, irregular appearing scalp, skin moles, itching of skin, skin irritation, warts, skin rash"
burn,"headache, hand or finger pain, wrist pain, wrist swelling, knee pain, skin irritation"
spontaneous abortion,"sharp abdominal pain, lower abdominal pain, intermenstrual bleeding, pain during pregnancy, pelvic pain, burning abdominal pain, problems during pregnancy, spotting or bleeding during pregnancy, cramps and spasms, blood clots during menstrual periods, uterine contractions, heavy menstrual flow"
genital herpes,"suprapubic pain, vaginal itching, painful urination, vaginal discharge, skin lesion, recent pregnancy, skin rash"
adjustment reaction,"anxiety and nervousness, depression, insomnia, hostile behavior, restlessness, excessive anger, delusions or hallucinations, fears and phobias, nightmares"
gallstone,"sharp chest pain, sharp abdominal pain, vomiting, nausea, back pain, burning abdominal pain, heartburn, side pain, lower body pain, upper abdominal pain, regurgitation.1"
multiple sclerosis,"dizziness, abnormal involuntary movements, headache, problems with movement, weakness, loss of sensation, focal weakness, disturbance of memory, paresthesia, fatigue, leg weakness"
zenker diverticulum,"sharp chest pain, sore throat, elbow weakness"
fracture of the pelvis,"difficulty speaking, leg pain, hip pain, back pain, knee pain, ache all over, groin pain"
pneumoconiosis,"shortness of breath, dizziness, cough, fever"
hyperlipidemia,"sharp chest pain, weight gain, smoking problems"
ulcerative colitis,"blood in stool, sharp abdominal pain, vomiting, nausea, diarrhea, lower abdominal pain, swollen lymph nodes, burning abdominal pain, rectal bleeding"
male genitalia infection,"swelling of scrotum, pain in testicles, mass in scrotum, irritable infant, abnormal appearing skin, bumps on penis"
hpv,"vaginal itching, involuntary urination, warts"
angina,"shortness of breath, sharp chest pain, dizziness, chest tightness, palpitations, irregular heartbeat, hot flashes, arm pain, increased heart rate, lower body pain, sweating"
injury to the spinal cord,"retention of urine, headache, back pain, neck pain"
nasal polyp,"hoarse voice, cough, nasal congestion, headache, facial pain, frontal headache, allergic reaction, painful sinuses"
lichen simplex,"difficulty speaking, vaginal itching, skin lesion, itching of skin, skin rash"
trichiasis,"emotional symptoms, diminished vision, foreign body sensation in eye, eye redness, eyelid lesion or rash"
acariasis,"emotional symptoms, swelling of scrotum, itching of skin, skin rash"
colorectal cancer,"blood in stool, sharp abdominal pain, pain of the anus, rectal bleeding, mass or swelling around the anus, drainage in throat"
skin pigmentation disorder,"skin swelling, abnormal appearing skin, skin lesion, acne or pimples, skin growth, irregular appearing scalp, skin moles, itching of skin, skin dryness, peeling, scaliness, or roughness, warts, skin rash"
factitious disorder,"depression, depressive or psychotic symptoms, elbow weakness, disturbance of memory"
lymphogranuloma venereum,"sore throat, ear pain, knee lump or mass"
galactorrhea of unknown cause,"anxiety and nervousness, emotional symptoms, bleeding or discharge from nipple, pain or soreness of breast"
g6pd enzyme deficiency,"cough, emotional symptoms"
nerve impingement near the shoulder,"arm pain, hand or finger stiffness or tightness, neck pain, elbow pain, problems with movement, shoulder pain, shoulder stiffness or tightness, shoulder weakness"
toxoplasmosis,"emotional symptoms, diminished vision"
fibroadenoma,"vaginal dryness, hot flashes, bones are painful, bleeding or discharge from nipple, pain or soreness of breast, lump or mass of breast"
open wound of the hand,"hand or finger pain, hand or finger swelling, hand or finger stiffness or tightness, skin on arm or hand looks infected"
missed abortion,"blood in stool, sharp abdominal pain, lower abdominal pain, intermenstrual bleeding, pain during pregnancy, problems during pregnancy, spotting or bleeding during pregnancy, cramps and spasms, blood clots during menstrual periods"
diabetic ketoacidosis,"depressive or psychotic symptoms, sharp chest pain, sharp abdominal pain, vomiting, nausea, diarrhea, frequent urination, weakness, decreased appetite, fluid retention"
granuloma inguinale,"sharp chest pain, knee lump or mass"
obsessive compulsive disorder (ocd),"anxiety and nervousness, depression, depressive or psychotic symptoms, lack of growth, hostile behavior, feeling ill, temper problems, low self-esteem, obsessions and compulsions"
injury of the ankle,"leg pain, wrist swelling, foot or toe pain, ankle pain, foot or toe swelling, joint pain, ankle swelling, foot or toe weakness"
hyponatremia,"shortness of breath, sharp chest pain, fainting, sharp abdominal pain, vomiting, nausea, back pain, weakness, seizures"
stricture of the esophagus,"sharp chest pain, difficulty in swallowing, vomiting, problems with movement, heartburn, regurgitation.1"
fracture of the ankle,"leg pain, foot or toe pain, ankle pain, knee weakness, foot or toe swelling, ankle swelling, ankle weakness"
soft tissue sarcoma,"groin mass, abnormal appearing skin, skin lesion, skin growth, skin moles, itching of skin, skin dryness, peeling, scaliness, or roughness"
bone disorder,"difficulty speaking, leg pain, back pain, knee pain, bones are painful, leg cramps or spasms, muscle stiffness or tightness"
epilepsy,"abnormal involuntary movements, difficulty speaking, lack of growth, headache, disturbance of memory, seizures, muscle weakness"
personality disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, hostile behavior, drug abuse, excessive anger, delusions or hallucinations, temper problems, fears and phobias, low self-esteem"
shingles (herpes zoster),"sharp chest pain, headache, abnormal appearing skin, skin lesion, facial pain, pain in eye, back pain, itching of skin, skin rash"
tourette syndrome,"depressive or psychotic symptoms, abnormal involuntary movements, drug abuse, headache, allergic reaction"
avascular necrosis,"hip pain, drug abuse, knee pain, shoulder pain"
strep throat,"sore throat, cough, nasal congestion, difficulty in swallowing, vomiting, headache, ear pain, decreased appetite, fever, ache all over, chills, skin rash"
spinocerebellar ataxia,"anxiety and nervousness, dizziness, abnormal involuntary movements, problems with movement"
osteomyelitis,"difficulty speaking, hand or finger pain, hand or finger swelling, arm swelling, skin lesion, bones are painful, skin on leg or foot looks infected"
sjogren syndrome,"difficulty in swallowing, diminished vision, symptoms of eye, pain in eye, ache all over, joint pain"
adhesive capsulitis of the shoulder,"arm pain, neck pain, muscle pain, shoulder pain, shoulder stiffness or tightness, ache all over"
viral hepatitis,"abusing alcohol, sharp abdominal pain, hand or finger stiffness or tightness, stomach bloating, melena"
tonsillar hypertrophy,"sore throat, cough, nasal congestion, difficulty in swallowing, fever, apnea, abnormal breathing sounds, redness in ear"
gastritis,"sharp chest pain, sharp abdominal pain, vomiting, headache, nausea, diarrhea, vomiting blood, burning abdominal pain, fever, regurgitation.1"
skin cancer,"skin swelling, lip swelling, abnormal appearing skin, skin lesion, skin growth, irregular appearing scalp, skin moles, skin dryness, peeling, scaliness, or roughness, skin irritation, warts"
rheumatic fever,"knee lump or mass, itchiness of eye"
aphthous ulcer,"sore throat, cough, headache, toothache, mouth ulcer, fever, tongue lesions, mouth pain"
tonsillitis,"sore throat, nasal congestion, diminished hearing, lump in throat, throat feels tight, abnormal breathing sounds, redness in ear, swollen or red tonsils, throat redness"
intestinal cancer,"throat feels tight, sharp abdominal pain, diarrhea, neck mass, foot or toe swelling"
rocky mountain spotted fever,"headache, wrist pain"
stomach cancer,"difficulty in swallowing, sharp abdominal pain, vomiting, nausea, diarrhea, burning abdominal pain, heartburn"
developmental disability,"depressive or psychotic symptoms, difficulty speaking, lack of growth, hostile behavior, restlessness, seizures, delusions or hallucinations, temper problems, fears and phobias, obsessions and compulsions, antisocial behavior"
acute stress reaction,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, sharp chest pain, dizziness, insomnia, abnormal involuntary movements, headache, burning abdominal pain, fatigue"
delirium,"depression, depressive or psychotic symptoms, abnormal involuntary movements, difficulty speaking, hostile behavior, problems with movement, focal weakness, slurring words, disturbance of memory, delusions or hallucinations"
